# Global warming potentials of greenhouse gases.,,,,,,
# Sources:,,,,,,
#   - SARGWP100: https://ghgprotocol.org/calculation-tools (specifically https://www.ghgprotocol.org/sites/default/files/ghgp/Global-Warming-Potential-Values%20%28Feb%2016%202016%29_1.pdf),,,,,,
#   - AR4GWP100: https://ghgprotocol.org/calculation-tools (specifically https://www.ghgprotocol.org/sites/default/files/ghgp/Global-Warming-Potential-Values%20%28Feb%2016%202016%29_1.pdf),,,,,,
#   - AR5GWP100: https://ghgprotocol.org/calculation-tools (specifically https://www.ghgprotocol.org/sites/default/files/ghgp/Global-Warming-Potential-Values%20%28Feb%2016%202016%29_1.pdf),,,,,,
#   - AR5CCFGWP100: AR5CCFGWP100 are AR5 100 year GWPs with climate carbon cycle feedbacks (https://www.ipcc.ch/site/assets/uploads/2018/07/WGI_AR5.Chap_.8_SM.pdf, Table 8.SM.16 and https://www.ipcc.ch/site/assets/uploads/2018/02/WG1AR5_Chapter08_FINAL.pdf, Table 8.7 (page 714).),,,,
#   - AR6GWP100, AR6GWP20: https://www.ipcc.ch/report/ar6/wg1/downloads/report/IPCC_AR6_WGI_Chapter_07_Supplementary_Material.pdf (specifically Supplementary Table 7.SM.7),,,,,,
#     Read from https://github.com/chrisroadmap/ar6
# Repository: https://github.com/openclimatedata/globalwarmingpotentials,,,,,,
Species,SARGWP100,AR4GWP100,AR5GWP100,AR5CCFGWP100,AR6GWP100,AR6GWP20
CH4,21,25.0,28,34,27.9,81.2
N2O,310,298.0,265,298,273.0,273.0
CFC11,3800,4750.0,4660,5352,6230.0,8320.0
CFC12,8100,10900.0,10200,11547,12500.0,12700.0
CFC13,,14400.0,13900,15451,16200.0,12400.0
CFC113,4800,6130.0,5820,6586,6520.0,6860.0
CFC114,,10000.0,8590,9615,9430.0,8260.0
CFC115,,7370.0,7670,8516,9600.0,7410.0
Halon1301,5400,7140.0,6290,7154,7200.0,8320.0
Halon1211,,1890.0,1750,2070,1930.0,4920.0
Halon2402,,1640.0,1470,1734,2170.0,4070.0
Halon1202,,,,280,216.0,775.0
CCl4,1400,1400.0,1730,2019,2200.0,3810.0
CH3Br,,5.0,2,3,2.43,8.74
CH3CCl3,100,146.0,160,193,161.0,567.0
HCFC21,,,148,179,160.0,575.0
HCFC22,1500,1810.0,1760,2106,1960.0,5690.0
HCFC123,90,77.0,79,96,90.4,325.0
HCFC124,470,609.0,527,635,597.0,2070.0
HCFC141b,600,725.0,782,938,860.0,2710.0
HCFC142b,1800,2310.0,1980,2345,2300.0,5510.0
HCFC225ca,,122.0,127,155,137.0,491.0
HCFC225cb,,595.0,525,633,568.0,1960.0
HFC23,11700,14800.0,12400,13856,14600.0,12400.0
HFC32,650,675.0,677,817,771.0,2690.0
HFC41,150,,116,141,135.0,485.0
HFC125,2800,3500.0,3170,3691,3740.0,6740.0
HFC134,1000,,1120,1337,1260.0,3900.0
HFC134a,1300,1430.0,1300,1549,1530.0,4140.0
HFC143,300,,328,397,364.0,1300.0
HFC143a,3800,4470.0,4800,5508,5810.0,7840.0
HFC152,,,16,20,21.5,77.6
HFC152a,140,124.0,138,167,164.0,591.0
HFC161,,,4,4,4.84,17.4
HFC227ea,2900,3220.0,3350,3860,3600.0,5850.0
HFC236cb,,,1210,1438,1350.0,3750.0
HFC236ea,,,1330,1596,1500.0,4420.0
HFC236fa,6300,9810.0,8060,8998,8690.0,7450.0
HFC245ca,560,,716,863,787.0,2680.0
HFC245fa,,1030.0,858,1032,962.0,3170.0
HFC365mfc,,794.0,804,966,914.0,2920.0
HFC4310mee,1300,1640.0,1650,1952,1600.0,3960.0
SO2F2,,,4090,4732,4630.0,7510.0
SF6,23900,22800.0,23500,26087,25200.0,18300.0
NF3,,17200.0,16100,17885,17400.0,13400.0
CF4,6500,7390.0,6630,7349,7380.0,5300.0
C2F6,9200,12200.0,11100,12340,12400.0,8940.0
C3F8,7000,8830.0,8900,9878,9290.0,6770.0
cC4F8,8700,10300.0,9540,10592,10200.0,7400.0
C4F10,7000,8860.0,9200,10213,10000.0,7300.0
C5F12,7500,9160.0,8550,9484,9220.0,6680.0
C6F14,7400,9300.0,7910,8780,8620.0,6260.0
C7F16,,,7820,8681,8410.0,6120.0
C8F18,,,7620,8456,8260.0,6010.0
C10F18,,,7190,7977,7480.0,5480.0
SF5CF3,,17700.0,17400,19396,18500.0,13900.0
cC3F6,,,9200,10208,,
HFE125,,14900.0,12400,13951,14300.0,13500.0
HFE134,,6320.0,5560,6512,6630.0,12700.0
HFE143a,,756.0,523,632,616.0,2170.0
HCFE235da2,,350.0,491,595,539.0,1930.0
HFE245cb2,,708.0,654,790,747.0,2630.0
HFE245fa2,,659.0,812,981,878.0,3060.0
HFE347mcc3,,575.0,530,641,576.0,2020.0
HFE347pcf2,,580.0,889,1072,980.0,3370.0
HFE356pcc3,,110.0,413,500,277.0,995.0
HFE569sf2,,59.0,57,69,60.7,219.0
HFE4310pccc124,,1870.0,2820,3353,3220.0,8720.0
HFE236ca12,,2800.0,5350,6260,6060.0,11700.0
HFE338pcc13,,1500.0,2910,3466,3320.0,9180.0
HFE227ea,,,6450,7377,7520.0,9800.0
HFE236ea2,,,1790,2143,2590.0,7020.0
HFE236fa,,,979,1177,1100.0,3670.0
HFE245fa1,,,828,997,934.0,3170.0
HFE263fb2,,,1,2,,
HFE329mcc2,,,3070,3598,3770.0,7550.0
HFE338mcf2,,,929,1118,1040.0,3460.0
HFE347mcf2,,,854,1028,963.0,3270.0
HFE356mec3,,,387,468,264.0,949.0
HFE356pcf2,,,719,867,831.0,2870.0
HFE356pcf3,,,446,540,484.0,1730.0
HFE365mcf3,,,,1,1.6,5.77
HFE374pc2,,,627,758,12.5,45.0
PFPMIE,,10300.0,9710,10789,10300.0,7750.0
CHCl3,4,,16,20,20.6,74.2
CH2Cl2,9,8.7,9,11,11.2,40.2
CH3Cl,,13.0,12,15,5.54,19.9
Halon1201,,,376,454,380.0,1340.0
